"filename", "language", "Markdown", "Python", "XML", "C#", "Properties", "Java", "comment", "blank", "total"
"/home/bluewolf787/Development/Projects/Discord-Bots/wolfbot/src/main/java/de/bluewolf/wolfbot/commands/moderation/CmdKick.java", "Java", 0, 0, 0, 0, 0, 44, 1, 11, 56
"/home/bluewolf787/Development/Projects/Discord-Bots/wolfbot/src/main/java/de/bluewolf/wolfbot/commands/moderation/CmdUnban.java", "Java", 0, 0, 0, 0, 0, 45, 1, 11, 57
"/home/bluewolf787/Development/Projects/Discord-Bots/wolfbot/src/main/java/de/bluewolf/wolfbot/core/Bot.java", "Java", 0, 0, 0, 0, 0, 99, 10, 24, 133
"/home/bluewolf787/Development/Projects/Discord-Bots/wolfbot/src/main/java/de/bluewolf/wolfbot/core/CommandHandler.java", "Java", 0, 0, 0, 0, 0, 24, 0, 12, 36
"/home/bluewolf787/Development/Projects/Discord-Bots/wolfbot/src/main/java/de/bluewolf/wolfbot/core/CommandParser.java", "Java", 0, 0, 0, 0, 0, 37, 0, 15, 52
"/home/bluewolf787/Development/Projects/Discord-Bots/wolfbot/src/main/java/de/bluewolf/wolfbot/listener/BotGuildListener.java", "Java", 0, 0, 0, 0, 0, 74, 20, 19, 113
"/home/bluewolf787/Development/Projects/Discord-Bots/wolfbot/src/main/java/de/bluewolf/wolfbot/listener/CommandListener.java", "Java", 0, 0, 0, 0, 0, 26, 0, 8, 34
"/home/bluewolf787/Development/Projects/Discord-Bots/wolfbot/src/main/java/de/bluewolf/wolfbot/listener/DirectMsgListener.java", "Java", 0, 0, 0, 0, 0, 34, 6, 15, 55
"/home/bluewolf787/Development/Projects/Discord-Bots/wolfbot/src/main/java/de/bluewolf/wolfbot/listener/GuildAvailableListener.java", "Java", 0, 0, 0, 0, 0, 53, 8, 11, 72
"/home/bluewolf787/Development/Projects/Discord-Bots/wolfbot/src/main/java/de/bluewolf/wolfbot/listener/ReadyListener.java", "Java", 0, 0, 0, 0, 0, 117, 28, 29, 174
"/home/bluewolf787/Development/Projects/Discord-Bots/wolfbot/src/main/java/de/bluewolf/wolfbot/settings/BotSettings.java", "Java", 0, 0, 0, 0, 0, 23, 9, 10, 42
"/home/bluewolf787/Development/Projects/Discord-Bots/wolfbot/src/main/java/de/bluewolf/wolfbot/settings/Permissions.java", "Java", 0, 0, 0, 0, 0, 77, 24, 13, 114
"/home/bluewolf787/Development/Projects/Discord-Bots/wolfbot/src/main/java/de/bluewolf/wolfbot/utils/ConsoleColors.java", "Java", 0, 0, 0, 0, 0, 43, 3, 8, 54
"/home/bluewolf787/Development/Projects/Discord-Bots/wolfbot/src/main/java/de/bluewolf/wolfbot/utils/CustomMsg.java", "Java", 0, 0, 0, 0, 0, 183, 74, 27, 284
"/home/bluewolf787/Development/Projects/Discord-Bots/wolfbot/src/main/java/de/bluewolf/wolfbot/utils/DatabaseHelper.java", "Java", 0, 0, 0, 0, 0, 198, 67, 27, 292
"/home/bluewolf787/Development/Projects/Discord-Bots/wolfbot/src/main/java/de/bluewolf/wolfbot/utils/ModerationUtil.java", "Java", 0, 0, 0, 0, 0, 150, 15, 39, 204
"/home/bluewolf787/Development/Projects/Discord-Bots/wolfbot/src/main/java/de/bluewolf/wolfbot/utils/PasswordGenerator.java", "Java", 0, 0, 0, 0, 0, 43, 10, 14, 67
"/home/bluewolf787/Development/Projects/Discord-Bots/wolfbot/src/main/java/de/bluewolf/wolfbot/utils/Timer.java", "Java", 0, 0, 0, 0, 0, 24, 6, 12, 42
"/home/bluewolf787/Development/Projects/Discord-Bots/wolfbot/target/maven-archiver/pom.properties", "Properties", 0, 0, 0, 0, 3, 0, 2, 1, 6
"Total", "-", 207, 8, 472, 33, 3, 3719, 478, 901, 5821
